Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,phlegm,throat irritation,redness of eyes
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate
Pneumonia,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,phlegm,chest pain,fast heart rate,rusty sputum
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),pain during bowel movements,pain in anal region,bloody stool,irritation in anus,constipation,,,,,
Dimorphic hemmorhoids(piles),constipation,pain in anal region,bloody stool,irritation in anus,pain during bowel movements,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,bloody stool,irritation in anus,pain in anal region,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,irritation in anus,bloody stool,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,breathlessness,sweating,chest pain,vomiting,,,,,,
Heart attack,vomiting,sweating,chest pain,breathlessness,,,,,,
Heart attack,vomiting,breathlessness,chest pain,sweating,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,breathlessness,sweating,chest pain,vomiting,,,,,,
Heart attack,vomiting,sweating,chest pain,breathlessness,,,,,,
Heart attack,vomiting,breathlessness,chest pain,sweating,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,fatigue,,,
Varicose veins,fatigue,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,cramps,,,
Varicose veins,fatigue,cramps,obesity,swollen legs,swollen blood vessels,prominent veins on calf,bruising,,,
Varicose veins,fatigue,cramps,bruising,swollen legs,swollen blood vessels,prominent veins on calf,obesity,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen blood vessels,prominent veins on calf,swollen legs,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf,swollen blood vessels,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf,swollen blood vessels,,,
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties
Hypothyroidism,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,enlarged thyroid,brittle nails,swollen extremeties,depression
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability
Hyperthyroidism,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,muscle weakness,irritability,abnormal menstruation
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech
Hypoglycemia,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,neck pain,knee pain,hip joint pain,swelling joints,painful walking,joint pain,,,,
Osteoarthristis,joint pain,knee pain,hip joint pain,swelling joints,painful walking,neck pain,,,,
Osteoarthristis,joint pain,neck pain,hip joint pain,swelling joints,painful walking,knee pain,,,,
Osteoarthristis,joint pain,neck pain,knee pain,swelling joints,painful walking,hip joint pain,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,painful walking,swelling joints,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,stiff neck,swelling joints,movement stiffness,painful walking,muscle weakness,,,,,
Arthritis,muscle weakness,swelling joints,movement stiffness,painful walking,stiff neck,,,,,
Arthritis,muscle weakness,stiff neck,movement stiffness,painful walking,swelling joints,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,painful walking,movement stiffness,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning movements,loss of balance,unsteadiness,vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinning movements,loss of balance,unsteadiness,headache,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,spinning movements,loss of balance,unsteadiness,nausea,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss of balance,unsteadiness,spinning movements,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,unsteadiness,loss of balance,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss of balance,unsteadiness,spinning movements,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,pus filled pimples,blackheads,scurring,skin rash,,,,,,
Acne,skin rash,blackheads,scurring,pus filled pimples,,,,,,
Acne,skin rash,pus filled pimples,scurring,blackheads,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,scurring,blackheads,,,,,,
Acne,skin rash,blackheads,scurring,pus filled pimples,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,bladder discomfort,foul smell of urine,continuous feel of urine,burning micturition,,,,,,
Urinary tract infection,burning micturition,foul smell of urine,continuous feel of urine,bladder discomfort,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Urinary tract infection,bladder discomfort,foul smell of urine,continuous feel of urine,burning micturition,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,skin rash,,,,
Psoriasis,skin rash,skin peeling,silver like dusting,small dents in nails,inflammatory nails,joint pain,,,,
Psoriasis,skin rash,joint pain,silver like dusting,small dents in nails,inflammatory nails,skin peeling,,,,
Psoriasis,skin rash,joint pain,skin peeling,small dents in nails,inflammatory nails,silver like dusting,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,inflammatory nails,small dents in nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,blister
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,blister
